commit,author,date,commit_message,type,type_detail,model_affected
c1c7e0c,kathsherratt,27/11/2020,Add rt pop arg,model-add,rt - add population argument,rt
2d51b873,Kath Sherratt,16/11/2020,Merge pull request #75 from epiforecasts/historic-backcalc,model-add,rt - add backcalc,rt
2b5d848b,kathsherratt,16/11/2020,rt_opts,model-add,rt - update opts arguments,rt
dcb109e8,seabbs,12/10/2020,update EpiNow2 version,model-add,rt - new version of epinow2,rt
21384135,seabbs,28/09/2020,update ready for vb  EpiNow2 PR,model-add,rt - epinow2 args update,rt
868c49e7,kathsherratt,07/09/2020,lepidopterology II,bug-fix,format - bug fixes,all
664b8237,Sam Abbott,07/09/2020,Merge pull request #65 from epiforecasts/no_delay_rt,model-add,rt - add no delay model,rt
ee302a97,seabbs,24/08/2020,add timeseries and original EpiNow2,model-add,rt - original,rt
a8f109f9,seabbs,24/08/2020,add daily effect,model-add,rt - daily effect,rt
6c9be290,seabbs,18/08/2020,add new models and processing,model-add,rt - new models,rt
e6126019,sophiemeakin,18/08/2020,Update expert forecast pipeline,model-add,app - update,expert
ac38a2ac,seabbs,17/08/2020,complete historic data,model-add,rt - historic estimates for new models,rt
79eda8f9,Sam Abbott,17/08/2020,Merge pull request #53 from epiforecasts/add-rt-models,model-add,rt - add rt models,rt
fe53f433,kathsherratt,14/08/2020,remove all epinow1 code,model-add,epinow1 removed,rt
b8ac8864,kathsherratt,10/08/2020,qra-by-state,model-add,qra - qra by state,qra
fe118df4,seabbs,10/08/2020,reviewed EpiNow2 formatting,model-add,rt - formatting,rt
bbf460a3,kathsherratt,30/07/2020,Add epinow2,model-add,rt - epinow2,rt
edd55926,Kath Sherratt,24/07/2020,epiweek conversion fixes,bug-fix,epiweek fixes,all
2ac5879c,kathsherratt,12/07/2020,add QRA to update-final-submission,model-add,qra - bug fixes,qra
466e4ec8,nikosbosse,09/07/2020,finalised work on quantile regression ensemble,model-add,qra,qra
6b4c615a,kathsherratt,07/07/2020,Rt forecast formatting issue,bug-fix,rt format fix,rt
29a5ee35,kathsherratt,06/07/2020,Data anomalies,bug-fix,data anomalies,all
aaab31ff,kathsherratt,03/07/2020,Daily forecasts,model-add,ts - daily,ts
405c6a91,kathsherratt,03/07/2020,Adding log timeseries models,model-add,ts - log,ts
b2c9c991,kathsherratt,27/06/2020,Switch to epiweek,bug-fix,used epiweeks,all
b4936a08,nikosbosse,22/06/2020,added functionality to do quantile averaging - changed format function to format-rt - created new folder for submissions,model-add,quantile average,mean
20615039,sophiemeakin,20/06/2020,First draft forecasting app,model-add,expert elicitation app- first draft,expert
3e0b777e,kathsherratt,20/06/2020,add timeseries forecasting,model-add,ts,ts
53174c38,kathsherratt,11/06/2020,Adding Rt forecast code,model-add,rt,rt
