state_code,tot_pop,state_name
01,4903185,Alabama
02,731545,Alaska
04,7278717,Arizona
05,3017804,Arkansas
06,39512223,California
08,5758736,Colorado
09,3565287,Connecticut
10,973764,Delaware
11,705749,District of Columbia
12,21477737,Florida
13,10617423,Georgia
15,1415872,Hawaii
16,1787065,Idaho
17,12671821,Illinois
18,6732219,Indiana
19,3155070,Iowa
20,2913314,Kansas
21,4467673,Kentucky
22,4648794,Louisiana
23,1344212,Maine
24,6045680,Maryland
25,6892503,Massachusetts
26,9986857,Michigan
27,5639632,Minnesota
28,2976149,Mississippi
29,6137428,Missouri
30,1068778,Montana
31,1934408,Nebraska
32,3080156,Nevada
33,1359711,New Hampshire
34,8882190,New Jersey
35,2096829,New Mexico
36,19453561,New York
37,10488084,North Carolina
38,762062,North Dakota
39,11689100,Ohio
40,3956971,Oklahoma
41,4217737,Oregon
42,12801989,Pennsylvania
44,1059361,Rhode Island
45,5148714,South Carolina
46,884659,South Dakota
47,6829174,Tennessee
48,28995881,Texas
49,3205958,Utah
50,623989,Vermont
51,8535519,Virginia
53,7614893,Washington
54,1792147,West Virginia
55,5822434,Wisconsin
56,578759,Wyoming
US,331002651,US
66,165768,Guam
60,55212,American Samoa
72,3193694,Puerto Rico
69,57694,Northern Mariana Islands
78,106977,Virgin Islands
